fecha,zona_prov,letra,w_mean
2013-02-01,JUJUY,F,4398
2013-02-01,JUJUY,G,5987
2013-02-01,JUJUY,H,8416
2013-02-01,JUJUY,I,4217
2013-02-01,JUJUY,J,7260
2013-02-01,JUJUY,K,10327
2013-02-01,JUJUY,L,4899
2013-02-01,JUJUY,M,5898
2013-02-01,JUJUY,N,4147
2013-02-01,JUJUY,O,4745
2013-02-01,JUJUY,P,5787
2013-02-01,JUJUY,Q,5670
2013-02-01,JUJUY,R,5513
2013-02-01,JUJUY,S,5012
2013-02-01,LA PAMPA,A,4664
2013-02-01,LA PAMPA,B,11818
2013-02-01,LA PAMPA,C,6392
2013-02-01,LA PAMPA,D,16672
2013-02-01,LA PAMPA,E,10388
2013-02-01,LA PAMPA,F,5329
2013-02-01,LA PAMPA,G,6469
2013-02-01,LA PAMPA,H,8180
